market_type,threshold,card,date,bets,wins,losses,flat_start_bankroll,flat_risk,flat_profit,flat_end_bankroll,flat_card_roi,kelly_start_bankroll,kelly_risk,kelly_profit,kelly_end_bankroll,kelly_card_roi
moneyline,0.1,Oklahoma City,2026-07-18,0,0,0,527.9285714285714,0.0,0.0,527.9285714285714,,575.124058246508,0.0,0.0,575.124058246508,
moneyline,0.1,Abu Dhabi,2026-07-25,0,0,0,527.9285714285714,0.0,0.0,527.9285714285714,,575.124058246508,0.0,0.0,575.124058246508,
moneyline,0.1,Belgrade,2026-08-01,0,0,0,527.9285714285714,0.0,0.0,527.9285714285714,,575.124058246508,0.0,0.0,575.124058246508,
method,0.02,Freedom 250,2026-06-14,9,3,6,500.0,90.0,-3.9090909090909065,496.0909090909091,-0.04343434343434341,500.0,35.834749016001034,37.36611034326027,537.3661103432603,1.0427339766374657
method,0.02,Vegas 119,2026-06-20,3,2,1,496.0909090909091,30.0,26.5,522.5909090909091,0.8833333333333333,537.3661103432603,20.967920813829238,31.506602241146354,568.8727125844066,1.502609749478184
method,0.02,Baku,2026-06-27,1,0,1,522.5909090909091,10.0,-10.0,512.5909090909091,-1.0,568.8727125844066,0.0,0.0,568.8727125844066,
method,0.02,UFC 329,2026-07-11,6,2,4,512.5909090909091,60.0,0.5,513.0909090909091,0.008333333333333333,568.8727125844066,12.157176715407353,-12.157176715407353,556.7155358689993,-1.0
method,0.02,Oklahoma City,2026-07-18,4,3,1,513.0909090909091,40.0,39.81395348837209,552.9048625792813,0.9953488372093023,556.7155358689993,9.588014326632063,2.672649882552639,559.3881857515519,0.2787490497515191
method,0.02,Abu Dhabi,2026-07-25,3,0,3,552.9048625792813,30.0,-30.0,522.9048625792813,-1.0,559.3881857515519,9.389988574742206,-9.389988574742206,549.9981971768096,-1.0
method,0.02,Belgrade,2026-08-01,8,3,5,522.9048625792813,80.0,23.0,545.9048625792813,0.2875,549.9981971768096,45.186980254573584,4.580842850920519,554.5790400277301,0.10137528166549413
method,0.03,Freedom 250,2026-06-14,4,3,1,500.0,40.0,46.09090909090909,546.0909090909091,1.1522727272727273,500.0,35.834749016001034,37.36611034326027,537.3661103432603,1.0427339766374657
method,0.03,Vegas 119,2026-06-20,2,2,0,546.0909090909091,20.0,36.5,582.5909090909091,1.825,537.3661103432603,20.967920813829238,31.506602241146354,568.8727125844066,1.502609749478184
method,0.03,Baku,2026-06-27,0,0,0,582.5909090909091,0.0,0.0,582.5909090909091,,568.8727125844066,0.0,0.0,568.8727125844066,
method,0.03,UFC 329,2026-07-11,4,1,3,582.5909090909091,40.0,-19.5,563.0909090909091,-0.4875,568.8727125844066,12.157176715407353,-12.157176715407353,556.7155358689993,-1.0
method,0.03,Oklahoma City,2026-07-18,3,2,1,563.0909090909091,30.0,22.313953488372093,585.4048625792813,0.743798449612403,556.7155358689993,9.588014326632063,2.672649882552639,559.3881857515519,0.2787490497515191
method,0.03,Abu Dhabi,2026-07-25,3,0,3,585.4048625792813,30.0,-30.0,555.4048625792813,-1.0,559.3881857515519,9.389988574742206,-9.389988574742206,549.9981971768096,-1.0
method,0.03,Belgrade,2026-08-01,8,3,5,555.4048625792813,80.0,23.0,578.4048625792813,0.2875,549.9981971768096,45.186980254573584,4.580842850920519,554.5790400277301,0.10137528166549413
method,0.05,Freedom 250,2026-06-14,4,3,1,500.0,40.0,46.09090909090909,546.0909090909091,1.1522727272727273,500.0,35.834749016001034,37.36611034326027,537.3661103432603,1.0427339766374657
method,0.05,Vegas 119,2026-06-20,2,2,0,546.0909090909091,20.0,36.5,582.5909090909091,1.825,537.3661103432603,20.967920813829238,31.506602241146354,568.8727125844066,1.502609749478184
method,0.05,Baku,2026-06-27,0,0,0,582.5909090909091,0.0,0.0,582.5909090909091,,568.8727125844066,0.0,0.0,568.8727125844066,
method,0.05,UFC 329,2026-07-11,2,0,2,582.5909090909091,20.0,-20.0,562.5909090909091,-1.0,568.8727125844066,12.157176715407353,-12.157176715407353,556.7155358689993,-1.0
method,0.05,Oklahoma City,2026-07-18,3,2,1,562.5909090909091,30.0,22.313953488372093,584.9048625792813,0.743798449612403,556.7155358689993,9.588014326632063,2.672649882552639,559.3881857515519,0.2787490497515191
method,0.05,Abu Dhabi,2026-07-25,2,0,2,584.9048625792813,20.0,-20.0,564.9048625792813,-1.0,559.3881857515519,7.60655433913367,-7.60655433913367,551.7816314124182,-1.0
method,0.05,Belgrade,2026-08-01,3,1,2,564.9048625792813,30.0,4.0,568.9048625792813,0.13333333333333333,551.7816314124182,35.0018615946141,3.0172225735956495,554.7988539860138,0.08620177430962483
method,0.075,Freedom 250,2026-06-14,2,2,0,500.0,20.0,29.59090909090909,529.5909090909091,1.4795454545454545,500.0,26.50622422011886,37.911536646160194,537.9115366461602,1.4302880837092002
method,0.075,Vegas 119,2026-06-20,1,1,0,529.5909090909091,10.0,10.5,540.0909090909091,1.05,537.9115366461602,14.860223873390462,15.603235067059986,553.5147717132203,1.05
method,0.075,Baku,2026-06-27,0,0,0,540.0909090909091,0.0,0.0,540.0909090909091,,553.5147717132203,0.0,0.0,553.5147717132203,
method,0.075,UFC 329,2026-07-11,1,0,1,540.0909090909091,10.0,-10.0,530.0909090909091,-1.0,553.5147717132203,9.136981185585851,-9.136981185585851,544.3777905276345,-1.0
method,0.075,Oklahoma City,2026-07-18,1,1,0,530.0909090909091,10.0,5.813953488372094,535.9048625792813,0.5813953488372093,544.3777905276345,0.0,0.0,544.3777905276345,
method,0.075,Abu Dhabi,2026-07-25,0,0,0,535.9048625792813,0.0,0.0,535.9048625792813,,544.3777905276345,0.0,0.0,544.3777905276345,
method,0.075,Belgrade,2026-08-01,2,1,1,535.9048625792813,20.0,14.0,549.9048625792813,0.7,544.3777905276345,28.02073036772151,9.488211320670473,553.8660018483049,0.3386139902905751
method,0.1,Freedom 250,2026-06-14,2,2,0,500.0,20.0,29.59090909090909,529.5909090909091,1.4795454545454545,500.0,26.50622422011886,37.911536646160194,537.9115366461602,1.4302880837092002
method,0.1,Vegas 119,2026-06-20,1,1,0,529.5909090909091,10.0,10.5,540.0909090909091,1.05,537.9115366461602,14.860223873390462,15.603235067059986,553.5147717132203,1.05
method,0.1,Baku,2026-06-27,0,0,0,540.0909090909091,0.0,0.0,540.0909090909091,,553.5147717132203,0.0,0.0,553.5147717132203,
method,0.1,UFC 329,2026-07-11,0,0,0,540.0909090909091,0.0,0.0,540.0909090909091,,553.5147717132203,0.0,0.0,553.5147717132203,
method,0.1,Oklahoma City,2026-07-18,0,0,0,540.0909090909091,0.0,0.0,540.0909090909091,,553.5147717132203,0.0,0.0,553.5147717132203,
method,0.1,Abu Dhabi,2026-07-25,0,0,0,540.0909090909091,0.0,0.0,540.0909090909091,,553.5147717132203,0.0,0.0,553.5147717132203,
method,0.1,Belgrade,2026-08-01,1,0,1,540.0909090909091,10.0,-10.0,530.0909090909091,-1.0,553.5147717132203,17.27383135050425,-17.27383135050425,536.2409403627161,-1.0
